point_index,x,y,z,x_D,y_D,z_D,nutEq_true,nut_pred,error,relative_error,ID,ax,theta,z_original,ax_d,z_d,nut
58637,-385.0,-2.3722777e-14,130.23439,-3.0555556,-1.8827601e-16,1.0336063,5.37255,2.5422916,-2.8302584,-0.5267998,4,-380.0,-1.570796326794896,130.23439,-3.015873015873016,1.0336063,33.21959
59144,-630.0,-1.9539925e-14,314.1144,-5.0,-1.5507878e-16,2.4929714,8.444679,1.600111,-6.8445683,-0.81051844,4,-625.0,-1.5707963267948966,314.1144,-4.9603174603174605,2.4929714,28.09116
59165,-630.0,-9.238264e-15,300.23666,-5.0,-7.3319556e-17,2.3828306,6.777612,1.434885,-5.342727,-0.7882905,4,-625.0,-1.5707963267948966,300.23666,-4.9603174603174605,2.3828306,25.390032
72608,322.0,-8.881784e-16,341.8661,2.5555556,-7.0490355e-18,2.713223,4.8227153,1.2036095,-3.6191058,-0.7504291,2,327.0,-1.5707963267948966,341.8661,2.5952380952380953,2.713223,34.21422
72617,350.0,1.7763568e-15,341.86945,2.7777777,1.4098071e-17,2.7132497,4.751792,1.2046509,-3.547141,-0.74648494,2,355.0,-1.5707963267948966,341.86945,2.8174603174603177,2.7132497,34.218052
141903,-630.0,567.0,90.0,-5.0,4.5,0.71428573,4.2707915,0.84789467,-3.4228969,-0.80146664,3,-625.0,3.141592653589793,90.0,-4.9603174603174605,0.71428573,18.849188
141918,-630.0,609.0,90.0,-5.0,4.8333335,0.71428573,5.0134697,0.4703827,-4.543087,-0.9061762,3,-625.0,3.141592653589793,90.0,-4.9603174603174605,0.71428573,13.524521
142091,-630.0,616.0,90.0,-5.0,4.888889,0.71428573,4.3266387,0.38625336,-3.9403853,-0.91072667,3,-625.0,3.141592653589793,90.0,-4.9603174603174605,0.71428573,12.345937
146530,-630.0,112.0,90.0,-5.0,0.8888889,0.71428573,8.807049,1.1143208,-7.692728,-0.873474,4,-625.0,3.141592653589793,90.0,-4.9603174603174605,0.71428573,18.307152
149400,-574.0,-59.5,90.0,-4.5555553,-0.4722222,0.71428573,4.4755616,0.94262886,-3.5329328,-0.7893831,4,-569.0,0.0,90.0,-4.515873015873016,0.71428573,16.59967
149401,-570.5,-59.5,90.0,-4.5277777,-0.4722222,0.71428573,4.482601,0.9571676,-3.5254335,-0.7864705,4,-565.5,0.0,90.0,-4.488095238095238,0.71428573,16.758377
149441,-577.5,-59.5,90.0,-4.5833335,-0.4722222,0.71428573,4.4827466,0.9243202,-3.5584264,-0.79380494,4,-572.5,0.0,90.0,-4.5436507936507935,0.71428573,16.396347
